destinataire;projet;horodatage;date_debut;date_fin;nb_lignes
DGT;DTS;2026-08-17T08:07:22;2026-01-01;2026-12-31;200
SIREN;Effectif_RCD;Effectif_H_rem_annuelle_globale;Effectif_F_rem_annuelle_globale;Effectif_H_taux_horaire_global;Effectif_F_taux_horaire_global;Effectif_H_rem_annuelle_variable;Effectif_F_rem_annuelle_variable;Rem_globale_annuelle_moyenne_ecart;Rem_globale_annuelle_moyenne_F;Rem_globale_annuelle_moyenne_H;Taux_horaire_global_moyen_ecart;Taux_horaire_global_moyen_F;Taux_horaire_global_moyen_H;Rem_variable_annuelle_moyenne_ecart;Rem_variable_annuelle_moyenne_F;Rem_variable_annuelle_moyenne_H;Taux_horaire_variable_moyen_ecart;Taux_horaire_variable_moyen_F;Taux_horaire_variable_moyen_H;Rem_globale_annuelle_mediane_ecart;Rem_globale_annuelle_mediane_F;Rem_globale_annuelle_mediane_H;Taux_horaire_global_median_ecart;Taux_globale_annuelle_mediane_F;Taux_globale_annuelle_mediane_H;Rem_variable_annuelle_mediane_ecart;Rem_variable_annuelle_mediane_F;Rem_variable_annuelle_mediane_H;Taux_horaire_variable_median_ecart;Taux_horaire_variable_median_F ;Taux_horaire_variable_median_H;Proportion_variable_F;Proportion_variable_H;Seuil_Q1_Rem_globale;Seuil_Q2_Rem_globale;Seuil_Q3_Rem_globale;Quartile1_Rem_globale_annuelle_nb_F;Quartile2_Rem_globale_annuelle_nb_F;Quartile3_Rem_globale_annuelle_nb_F;Quartile4_Rem_globale_annuelle_nb_F;Quartile1_Rem_globale_annuelle_nb_H;Quartile2_Rem_globale_annuelle_nb_H;Quartile3_Rem_globale_annuelle_nb_H;Quartile4_Rem_globale_annuelle_nb_H;Quartile1_Rem_globale_annuelle_proportion_F;Quartile2_Rem_globale_annuelle_proportion_F;Quartile3_Rem_globale_annuelle_proportion_F;Quartile4_Rem_globale_annuelle_proportion_F;Quartile1_Rem_globale_annuelle_proportion_H;Quartile2_Rem_globale_annuelle_proportion_H;Quartile3_Rem_globale_annuelle_proportion_H;Quartile4_Rem_globale_annuelle_proportion_H;Seuil_Q1_Taux_horaire_global;Seuil_Q2_Taux_horaire_global;Seuil_Q3_Taux_horaire_global;Quartile1_Taux_horaire_global_nb_F;Quartile2_Taux_horaire_global_nb_F;Quartile3_Taux_horaire_global_nb_F;Quartile4_Taux_horaire_global_nb_F;Quartile1_Taux_horaire_global_nb_H;Quartile2_Taux_horaire_global_nb_H;Quartile3_Taux_horaire_global_nb_H;Quartile4_Taux_horaire_global_nb_H;Quartile1_Taux_horaire_global_proportion_F;Quartile2_Taux_horaire_global_proportion_F;Quartile3_Taux_horaire_global_proportion_F;Quartile4_Taux_horaire_global_proportion_F;Quartile1_Taux_horaire_global_proportion_H;Quartile2_Taux_horaire_global_proportion_H;Quartile3_Taux_horaire_global_proportion_H;Quartile4_Taux_horaire_global_proportion_H;indice;indice_nature_exo;indice_unite;indice_ratio_suspensions;indice_ratio_arrets;indice_arrets_0;indice_quotite250;indice_quotite0;indice_rem_extremes;indice_taux_extremes
969502004;70,00;37;33;33;31;15;12;0,0174;41593,31;42331,11;-0,0064;23,62;23,47;-0,0359;693,32;669,31;-0,0541;0,39;0,37;0,0250;42796,31;43891,86;0,0008;24,31;24,33;-0,3337;782,31;586,58;-0,3333;0,44;0,33;0,3636;0,4054;29155,43;33281,88;46075,67;9;8;7;9;9;9;10;9;0,5000;0,4706;0,4118;0,5000;0,5000;0,5294;0,5882;0,5000;16,35;18,67;25,84;8;8;7;8;8;8;9;8;0,5000;0,5000;0,4375;0,5000;0,5000;0,5000;0,5625;0,5000;0,8526;0,4674;0,0835;0,2120;0,0359;0,0260;0,2466;0,0241;0,9459;0,0281
452454440;70,00;47;23;42;22;10;4;0,0422;31808,02;33207,88;0,0420;17,34;18,10;0,1016;393,96;438,50;0,1250;0,21;0,24;0,0395;33793,84;35184,99;0,0391;18,43;19,18;0,0300;399,31;411,65;0,0000;0,22;0,22;0,1739;0,2128;17273,93;27872,85;31967,94;7;7;4;5;10;11;14;12;0,4118;0,3889;0,2222;0,2941;0,5882;0,6111;0,7778;0,7059;9,42;15,19;17,43;7;6;4;5;9;10;12;11;0,4375;0,3750;0,2500;0,3125;0,5625;0,6250;0,7500;0,6875;0,8476;0,3498;0,0670;0,1239;0,0327;0,0327;0,1008;0,0414;0,5975;0,0443
444182075;70,00;36;34;35;29;14;11;0,0064;44391,85;44678,84;-0,0520;25,47;24,21;0,0130;722,32;731,85;-0,0250;0,41;0,40;0,0060;45130,05;45402,27;-0,0524;25,89;24,60;-0,0338;653,85;632,50;-0,1176;0,38;0,34;0,3235;0,3889;28644,07;37605,02;42815,66;10;9;7;8;8;9;10;9;0,5556;0,5000;0,4118;0,4706;0,4444;0,5000;0,5882;0,5294;15,92;20,90;23,80;8;8;7;6;8;8;9;10;0,5000;0,5000;0,4375;0,3750;0,5000;0,5000;0,5625;0,6250;0,5837;0,2805;0,0878;0,1184;0,0869;0,0209;0,2058;0,0797;0,3193;0,0448
439793811;70,00;55;15;49;13;15;3;0,0389;32622,32;33943,15;-0,0208;19,13;18,74;0,1147;385,75;435,72;0,0417;0,23;0,24;0,0317;33640,06;34742,00;-0,0282;19,72;19,18;0,1678;342,34;411,38;0,1304;0,20;0,23;0,2000;0,2727;17259,52;27680,88;31958,75;4;3;4;4;13;15;14;13;0,2353;0,1667;0,2222;0,2353;0,7647;0,8333;0,7778;0,7647;9,65;15,47;17,86;4;2;3;4;11;13;13;12;0,2667;0,1333;0,1875;0,2500;0,7333;0,8667;0,8125;0,7500;0,7576;0,4202;0,2684;0,1350;0,0293;0,0309;0,2423;0,0417;0,3702;0,0273
400165635;70,00;32;38;28;33;21;22;-0,0216;40731,99;39871,99;-0,0221;22,17;21,69;0,0446;641,82;671,81;0,0541;0,35;0,37;-0,0162;42791,25;42108,29;-0,0166;23,29;22,91;0,0488;706,70;742,95;0,0500;0,38;0,40;0,5789;0,6563;24715,76;30710,06;39448,60;11;9;8;10;6;8;10;8;0,6471;0,5294;0,4444;0,5556;0,3529;0,4706;0,5556;0,4444;13,45;16,71;21,47;10;8;7;8;6;7;8;7;0,6250;0,5333;0,4667;0,5333;0,3750;0,4667;0,5333;0,4667;0,6792;0,0100;0,0257;0,1943;0,1453;0,0478;0,2638;0,0932;0,6721;0,0073
540019478;70,00;56;14;54;13;10;3;0,0952;26844,15;29669,66;0,0637;15,15;16,18;0,0647;352,05;376,39;0,0476;0,20;0,21;0,0941;26601,67;29365,23;0,0624;15,02;16,02;0,0549;347,72;367,93;0,0000;0,20;0,20;0,2143;0,1786;16804,43;22594,01;27578,82;5;3;3;3;13;15;14;14;0,2778;0,1667;0,1765;0,1765;0,7222;0,8333;0,8235;0,8235;9,23;12,41;15,14;4;3;3;3;12;14;14;14;0,2500;0,1765;0,1765;0,1765;0,7500;0,8235;0,8235;0,8235;0,5726;0,4716;0,0208;0,2612;0,0861;0,0251;0,0296;0,1643;0,0539;0,0185
432491777;70,00;37;33;36;31;13;10;-0,0038;43410,42;43244,23;-0,0650;25,22;23,68;-0,0250;802,78;783,20;-0,0930;0,47;0,43;-0,0203;40479,95;39673,13;-0,0829;23,52;21,72;0,0423;696,71;727,46;0,0000;0,40;0,40;0,3030;0,3514;27435,36;36051,55;43771,83;11;7;7;8;7;10;10;10;0,6111;0,4118;0,4118;0,4444;0,3889;0,5882;0,5882;0,5556;15,43;20,28;24,62;10;7;7;7;6;10;10;10;0,6250;0,4118;0,4118;0,4118;0,3750;0,5882;0,5882;0,5882;0,9627;0,4760;0,0799;0,1555;0,1720;0,0468;0,2055;0,1137;0,7694;0,0156
432678480;70,00;53;17;53;17;16;5;0,0450;35336,87;37003,01;0,0223;19,75;20,20;0,0681;393,00;421,71;0,0435;0,22;0,23;0,0407;37398,76;38984,87;0,0179;20,90;21,28;-0,0978;437,55;398,56;-0,0909;0,24;0,22;0,2941;0,3019;25013,09;28960,37;35816,30;5;5;3;4;13;13;14;13;0,2778;0,2778;0,1765;0,2353;0,7222;0,7222;0,8235;0,7647;13,73;15,90;19,67;5;4;3;5;13;13;14;13;0,2778;0,2353;0,1765;0,2778;0,7222;0,7647;0,8235;0,7222;0,7385;0,1374;0,1892;0,2314;0,1477;0,0357;0,0558;0,1693;0,8574;0,0272
413567132;70,00;35;35;33;32;23;22;0,0000;33159,99;33160,18;-0,0620;19,54;18,40;0,0079;632,60;637,63;-0,0571;0,37;0,35;-0,0154;31024,81;30554,84;-0,0785;18,28;16,95;0,1306;608,94;700,40;0,0769;0,36;0,39;0,6286;0,6571;22136,78;27744,12;30406,22;9;9;9;8;9;9;8;9;0,5000;0,5000;0,5294;0,4706;0,5000;0,5000;0,4706;0,5294;12,65;15,85;17,37;8;8;8;8;8;8;8;9;0,5000;0,5000;0,5000;0,4706;0,5000;0,5000;0,5000;0,5294;0,6691;0,0499;0,1882;0,0719;0,0960;0,0139;0,0780;0,1441;0,4931;0,0244
502705502;70,00;51;19;44;16;15;5;0,0218;28669,83;29308,94;0,0210;15,84;16,18;0,1325;492,25;567,45;0,1290;0,27;0,31;0,0349;29042,30;30093,51;0,0343;16,04;16,61;0,2091;468,86;592,84;0,2121;0,26;0,33;0,2632;0,2941;14842,53;24822,98;31059,37;5;4;5;5;12;14;12;13;0,2941;0,2222;0,2941;0,2778;0,7059;0,7778;0,7059;0,7222;8,19;13,71;17,15;4;3;5;4;11;12;10;11;0,2667;0,2000;0,3333;0,2667;0,7333;0,8000;0,6667;0,7333;0,9265;0,3961;0,1481;0,2855;0,0351;0,0073;0,1656;0,1349;0,1962;0,0385
