"Raison Sociale",SIREN,Année,Note,Structure,"Nom UES","Entreprises UES (SIREN)",Région,Département
30718119800028,302004072,2019,94/100,Entreprise,"","",Occitanie,Gard
50173532800012,501735328,2019,60/80,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
57205383300107,572053833,2019,95/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
78287995100047,782879951,2019,94/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"A2micile Europe",508974128,2019,81/100,"Unité Economique et Sociale (UES)",A2micile,"A2micile Gestion (820614014), ITC (847909553), A2micile Services (849691555), A2micile Azaé Saint Quentin (507465441), A2micile Azaé Béziers (502244817), A2micile Azaé Chambéry Aix (511452310), Domaliance AUbagne (811242668), Axdom Services (502843113), Emaemil Azaé Reims (488662909), Le Psad Azaé Gisors (528075369), AAD Domaliance Tarbes (798358701), A2micile Azaé Poitiers (500321146), A2micile Azaé Orange (539656504), A2micile Azaé Perpignan (500925706), AVS Domaliance Vernon (522217526), A2micile Azaé Bourg en Bresse (498998707), La Belle vie en Cornouailles (450120779), A2micile Azaé Artois (511146474), A2micile Région Centre (791481344), Cap Services aux Particuliers (752273037), A2micile Région Nord (500088133), Camaju Azaé Annemasse (523223386), A2micile Région Sud (527561047), A2micile Azaé Côte Basque (750215444), A&D Services Azaé Bordeaux Ouest (750474074), A2micile Azé La Rochelle (518172325), A2micile Région IDF (501274351), A2micile Services (753397793)","Grand Est",Bas-Rhin
ABRAPA,775642069,2019,84/100,Entreprise,"","","Grand Est",Bas-Rhin
"Accenture SAS",732075312,2019,89/100,Entreprise,"","",Ile-de-France,Paris
"Accenture Technology Solutions",445088057,2019,89/100,Entreprise,"","",Ile-de-France,Paris
ACMS,775728223,2019,93/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ACNA SA",382587558,2019,84/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
ACOSS,180035016,2019,90/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
ACPPA,327355160,2019,63/65,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
ACSEA,775561392,2019,63/65,Entreprise,"","",Normandie,Calvados
ADAGES,339774424,2019,84/85,Entreprise,"","",Occitanie,Hérault
ADAPEI,775544083,2019,78/85,Entreprise,"ADAPEI DE L AIN","",Auvergne-Rhône-Alpes,Ain
"ADAPEI 35",775590920,2019,99/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
